172 ;0
138 ;1000
147 ;2000
139 ;3000
139 ;4000
134 ;5000
548 ;6000
126 ;7000
125 ;8000
122 ;9000
124 ;10000
122 ;11000
366 ;12000
123 ;13000
126 ;14000
122 ;15000
124 ;16000
122 ;17000
488 ;18000
90 ;19000
124 ;20000
126 ;21000
127 ;22000
128 ;23000
135 ;24000
214 ;25000
102 ;26000
208 ;27000
133 ;28000
159 ;29000
123 ;30000
155 ;31000
250 ;32000
224 ;33000
165 ;34000
216 ;35000
176 ;36000
181 ;37000
134 ;38000
257 ;39000
300 ;40000
1092 ;41000
159 ;42000
1106 ;43000
646 ;44000
364 ;45000
224 ;46000
872 ;47000
1800 ;48000
889 ;49000
1695 ;50000
1354 ;51000
2270 ;52000
2201 ;53000
1980 ;54000
2691 ;55000
2227 ;56000
271 ;57000
4129 ;58000
3771 ;59000
4154 ;60000
3194 ;61000
5821 ;62000
3973 ;63000
4883 ;64000
382 ;65000
5447 ;66000
6821 ;67000
5270 ;68000
5454 ;69000
7689 ;70000
7124 ;71000
6478 ;72000
6621 ;73000
7622 ;74000
8313 ;75000
8744 ;76000
6905 ;77000
11729 ;78000
7014 ;79000
10315 ;80000
9463 ;81000
8595 ;82000
7856 ;83000
11011 ;84000
11064 ;85000
12176 ;86000
10441 ;87000
12203 ;88000
11606 ;89000
11575 ;90000
13468 ;91000
11910 ;92000
14159 ;93000
14802 ;94000
13785 ;95000
18105 ;96000
15904 ;97000
17535 ;98000
18483 ;99000
