3,3,4,9,10,13,17,19,22,25,28,44,49,54,60,65,71,77,83,90,98,105,113,121,129,139,148,162,179,193,205,215,225,236,247,258,269,280,292,306,323,338,355,368,381,396,416,435,455,476,498,518,536,566,592,611,630,664,684,714,736,762,788,811,840,868,892,917,943,970,998,1023,1049,1076,1115,1147,1174,1201,1243,1281,1320,1352,1381,1414,1455,1499,1543,1587,1630,1667,1705,1751,1796,1833,1874,1914,1951,1989,2032,2076,
1,1,2,3,3,3,3,3,4,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,38,39,40,41,42,43,45,46,48,50,51,53,55,57,58,60,61,62,64,66,73,74,76,77,79,81,83,85,88,90,92,94,107,109,111,114,116,122,125,128,130,132,135,137,140,143,146,149,152,155,157,160,162,164,167,170,173,176,
10,11,11,13,20,23,25,27,29,32,34,38,41,45,50,56,62,67,73,79,86,93,101,109,117,126,141,151,164,176,187,198,208,218,228,239,249,260,271,287,302,319,337,350,364,379,396,414,434,452,472,495,512,542,567,584,605,635,654,675,695,725,747,774,800,824,851,878,902,927,958,986,1010,1039,1071,1098,1125,1153,1185,1217,1256,1287,1316,1345,1390,1439,1482,1534,1575,1607,1645,1685,1726,1764,1800,1837,1872,1912,1965,2011,

5,5,6,8,9,10,11,12,13,15,17,20,23,26,29,32,37,41,44,56,61,66,71,78,83,91,101,108,115,121,128,134,141,149,156,163,170,178,185,196,208,220,229,238,246,255,266,281,292,306,321,337,348,366,382,395,411,427,440,455,469,494,511,527,545,561,579,597,613,630,648,666,683,701,720,741,759,777,798,820,851,870,890,910,941,969,998,1026,1047,1069,1098,1122,1151,1182,1205,1233,1261,1296,1331,1362,
3,4,4,6,7,10,11,13,15,17,21,24,29,32,35,40,44,48,53,57,64,70,76,83,89,97,105,116,129,141,148,157,166,179,189,198,208,218,229,244,259,273,285,296,308,321,340,360,384,405,425,444,465,490,514,533,550,573,591,613,636,669,692,715,757,779,800,824,847,870,900,924,950,973,1002,1027,1050,1074,1105,1152,1194,1228,1255,1281,1333,1379,1423,1462,1494,1524,1566,1601,1640,1686,1721,1755,1791,1830,1879,1925,
2,2,3,3,4,7,8,10,12,15,17,20,23,26,31,36,40,44,53,60,66,72,78,84,90,100,111,120,129,137,145,153,161,170,179,187,195,204,213,225,236,247,257,267,278,289,306,324,342,360,380,394,410,434,451,466,482,500,515,534,554,575,593,617,643,672,693,715,736,756,782,805,830,853,875,897,920,942,965,997,1024,1048,1073,1102,1143,1182,1216,1246,1274,1304,1339,1377,1408,1454,1487,1519,1550,1580,1621,1656,

6,7,8,20,22,25,27,32,35,38,40,43,46,50,54,58,68,73,78,92,98,104,110,117,124,132,143,154,162,173,181,189,197,205,215,223,231,240,249,260,275,285,295,306,317,328,345,361,378,395,414,427,442,463,478,491,506,522,538,554,574,591,610,628,654,672,692,712,735,754,777,797,816,836,856,878,902,922,942,977,1004,1027,1061,1088,1122,1154,1183,1213,1239,1269,1302,1334,1363,1399,1439,1467,1495,1523,1560,1590,
2,3,4,8,9,12,13,16,17,19,22,27,30,34,37,41,45,49,54,60,66,72,78,85,94,106,115,121,131,142,149,156,164,172,181,189,200,209,220,235,246,257,266,276,285,298,316,333,351,371,383,401,425,450,464,479,495,508,520,535,550,566,582,602,635,653,672,691,708,727,751,772,794,815,834,858,873,892,912,952,977,999,1022,1040,1080,1110,1144,1184,1208,1240,1272,1311,1338,1369,1411,1439,1467,1501,1531,1568,
10,11,11,12,15,26,28,31,33,35,38,42,45,48,52,59,66,71,75,80,84,89,94,101,107,117,131,141,148,157,164,171,178,185,191,198,205,212,220,234,242,250,258,266,278,289,303,317,332,345,358,369,391,404,420,431,449,461,474,487,500,520,535,552,570,585,601,619,634,651,667,684,702,720,737,755,771,788,806,835,856,874,896,919,948,998,1026,1058,1079,1105,1131,1164,1187,1216,1247,1271,1296,1322,1348,1377,
